primal_vertex_tag,dual_quadrangle_element_tag,primal_face_index
193,462,154
195,463,155
78,464,155
68,465,155
68,466,156
70,467,156
195,468,156
197,469,157
196,470,157
39,471,157
39,472,158
40,473,158
197,474,158
199,475,159
198,476,159
146,477,159
146,478,160
147,479,160
199,480,160
99,481,161
102,482,161
200,483,161
200,484,162
109,485,162
99,486,162
197,487,163
132,488,163
196,489,163
201,490,164
116,491,164
32,492,164
32,493,165
33,494,165
201,495,165
102,496,166
101,497,166
202,498,166
203,499,167
200,500,167
102,501,167
202,502,168
203,503,168
102,504,168
72,505,169
73,506,169
142,507,169
205,508,170
107,509,170
204,510,170
204,511,171
206,512,171
205,513,171
89,514,172
90,515,172
207,516,172
208,517,173
129,518,173
89,519,173
89,520,174
207,521,174
208,522,174
61,523,175
158,524,175
209,525,175
209,526,176
60,527,176
61,528,176
45,529,177
210,530,177
43,531,177
101,532,178
155,533,178
211,534,178
211,535,179
202,536,179
101,537,179
151,538,180
213,539,180
212,540,180
212,541,181
150,542,181
151,543,181
214,544,182
45,545,182
46,546,182
46,547,183
215,548,183
214,549,183
216,550,184
120,551,184
119,552,184
119,553,185
140,554,185
216,555,185
213,556,186
217,557,186
212,558,186
219,559,187
210,560,187
218,561,187
218,562,188
220,563,188
219,564,188
108,565,189
110,566,189
221,567,189
222,568,190
149,569,190
108,570,190
221,571,191
222,572,191
108,573,191
52,574,192
224,575,192
223,576,192
225,577,193
51,578,193
52,579,193
52,580,194
223,581,194
225,582,194
226,583,195
80,584,195
81,585,195
7,586,196
163,587,196
227,588,196
227,589,197
175,590,197
7,591,197
41,592,198
229,593,198
228,594,198
228,595,199
40,596,199
41,597,199
125,598,200
180,599,200
230,600,200
230,601,201
124,602,201
125,603,201
231,604,202
22,605,202
20,606,202
20,607,203
27,608,203
232,609,203
232,610,204
231,611,204
20,612,204
74,613,205
234,614,205
233,615,205
233,616,206
73,617,206
74,618,206
171,619,207
185,620,207
170,621,207
235,622,208
50,623,208
22,624,208
22,625,209
231,626,209
235,627,209
236,628,210
8,629,210
79,630,210
79,631,211
191,632,211
236,633,211
239,634,212
238,635,212
237,636,212
237,637,213
240,638,213
239,639,213
26,640,214
59,641,214
241,642,214
242,643,215
27,644,215
26,645,215
26,646,216
241,647,216
242,648,216
224,649,217
122,650,217
223,651,217
243,652,218
77,653,218
65,654,218
65,655,219
66,656,219
243,657,219
244,658,220
59,659,220
58,660,220
58,661,221
186,662,221
244,663,221
158,664,222
159,665,222
209,666,222
245,667,223
83,668,223
15,669,223
15,670,224
16,671,224
245,672,224
246,673,225
182,674,225
78,675,225
78,676,226
195,677,226
247,678,226
78,679,227
247,680,227
246,681,227
249,682,228
248,683,228
168,684,228
168,685,229
169,686,229
249,687,229
47,688,230
42,689,230
250,690,230
251,691,231
34,692,231
47,693,231
47,694,232
250,695,232
251,696,232
90,697,233
87,698,233
252,699,233
90,700,234
252,701,234
253,702,234
253,703,235
207,704,235
90,705,235
160,706,236
144,707,236
254,708,236
254,709,237
159,710,237
160,711,237
255,712,238
215,713,238
173,714,238
173,715,239
174,716,239
255,717,239
87,718,240
121,719,240
252,720,240
256,721,241
29,722,241
113,723,241
113,724,242
114,725,242
256,726,242
258,727,243
55,728,243
257,729,243
257,730,244
260,731,244
259,732,244
259,733,245
258,734,245
257,735,245
261,736,246
141,737,246
128,738,246
128,739,247
130,740,247
262,741,247
128,742,248
262,743,248
261,744,248
263,745,249
131,746,249
132,747,249
132,748,250
197,749,250
263,750,250
264,751,251
67,752,251
138,753,251
138,754,252
139,755,252
264,756,252
265,757,253
49,758,253
50,759,253
266,760,254
265,761,254
50,762,254
235,763,255
266,764,255
50,765,255
134,766,256
131,767,256
267,768,256
267,769,257
165,770,257
134,771,257
258,772,258
54,773,258
55,774,258
268,775,259
187,776,259
49,777,259
49,778,260
265,779,260
268,780,260
92,781,261
93,782,261
269,783,261
269,784,262
114,785,262
92,786,262
67,787,263
264,788,263
270,789,263
270,790,264
66,791,264
67,792,264
59,793,265
244,794,265
271,795,265
59,796,266
271,797,266
241,798,266
189,799,267
51,800,267
272,801,267
272,802,268
188,803,268
189,804,268
42,805,269
206,806,269
250,807,269
109,808,270
200,809,270
273,810,270
274,811,271
111,812,271
109,813,271
109,814,272
273,815,272
274,816,272
275,817,273
234,818,273
63,819,273
63,820,274
60,821,274
275,822,274
162,823,275
277,824,275
276,825,275
162,826,276
276,827,276
161,828,276
110,829,277
111,830,277
278,831,277
110,832,278
278,833,278
221,834,278
144,835,279
142,836,279
254,837,279
178,838,280
238,839,280
177,840,280
279,841,281
140,842,281
141,843,281
141,844,282
261,845,282
279,846,282
93,847,283
150,848,283
269,849,283
280,850,284
240,851,284
198,852,284
198,853,285
199,854,285
280,855,285
281,856,286
156,857,286
149,858,286
149,859,287
222,860,287
282,861,287
282,862,288
281,863,288
149,864,288
229,865,289
248,866,289
283,867,289
283,868,290
228,869,290
229,870,290
80,871,291
226,872,291
284,873,291
284,874,292
285,875,292
80,876,292
286,877,293
232,878,293
27,879,293
27,880,294
242,881,294
286,882,294
248,883,295
249,884,295
283,885,295
289,886,296
288,887,296
287,888,296
291,889,297
290,890,297
289,891,297
289,892,298
287,893,298
291,894,298
36,895,299
37,896,299
292,897,299
293,898,300
164,899,300
36,900,300
36,901,301
292,902,301
293,903,301
236,904,302
104,905,302
8,906,302
294,907,303
115,908,303
116,909,303
116,910,304
201,911,304
294,912,304
37,913,305
182,914,305
295,915,305
295,916,306
292,917,306
37,918,306
122,919,307
183,920,307
223,921,307
296,922,308
105,923,308
24,924,308
24,925,309
25,926,309
296,927,309
200,928,310
203,929,310
297,930,310
298,931,311
273,932,311
200,933,311
200,934,312
297,935,312
298,936,312
217,937,313
300,938,313
299,939,313
299,940,314
212,941,314
217,942,314
210,943,315
45,944,315
301,945,315
301,946,316
218,947,316
210,948,316
121,949,317
120,950,317
302,951,317
303,952,318
252,953,318
121,954,318
121,955,319
302,956,319
303,957,319
304,958,320
28,959,320
29,960,320
29,961,321
256,962,321
304,963,321
260,964,322
220,965,322
305,966,322
305,967,323
259,968,323
260,969,323
306,970,324
278,971,324
111,972,324
111,973,325
274,974,325
306,975,325
300,976,326
28,977,326
307,978,326
307,979,327
299,980,327
300,981,327
57,982,328
54,983,328
308,984,328
308,985,329
192,986,329
57,987,329
309,988,330
130,989,330
129,990,330
129,991,331
208,992,331
309,993,331
51,994,332
225,995,332
272,996,332
288,997,333
83,998,333
310,999,333
288,1000,334
310,1001,334
287,1002,334
120,1003,335
216,1004,335
311,1005,335
311,1006,336
302,1007,336
120,1008,336
28,1009,337
304,1010,337
307,1011,337
291,1012,338
312,1013,338
290,1014,338
313,1015,339
216,1016,339
140,1017,339
279,1018,340
313,1019,340
140,1020,340
275,1021,341
233,1022,341
234,1023,341
314,1024,342
33,1025,342
34,1026,342
34,1027,343
251,1028,343
314,1029,343
70,1030,344
69,1031,344
315,1032,344
316,1033,345
195,1034,345
70,1035,345
315,1036,346
316,1037,346
70,1038,346
263,1039,347
267,1040,347
131,1041,347
226,1042,348
194,1043,348
317,1044,348
318,1045,349
284,1046,349
226,1047,349
226,1048,350
317,1049,350
318,1050,350
186,1051,351
187,1052,351
319,1053,351
320,1054,352
244,1055,352
186,1056,352
319,1057,353
320,1058,353
186,1059,353
267,1060,354
169,1061,354
165,1062,354
321,1063,355
310,1064,355
83,1065,355
83,1066,356
245,1067,356
321,1068,356
155,1069,357
156,1070,357
322,1071,357
322,1072,358
211,1073,358
155,1074,358
191,1075,359
188,1076,359
323,1077,359
323,1078,360
236,1079,360
191,1080,360
76,1081,361
77,1082,361
324,1083,361
324,1084,362
153,1085,362
76,1086,362
163,1087,363
164,1088,363
325,1089,363
325,1090,364
227,1091,364
163,1092,364
326,1093,365
142,1094,365
73,1095,365
73,1096,366
233,1097,366
326,1098,366
327,1099,367
147,1100,367
148,1101,367
148,1102,368
312,1103,368
327,1104,368
69,1105,369
176,1106,369
328,1107,369
328,1108,370
315,1109,370
69,1110,370
60,1111,371
209,1112,371
329,1113,371
329,1114,372
275,1115,372
60,1116,372
277,1117,373
118,1118,373
330,1119,373
330,1120,374
276,1121,374
277,1122,374
182,1123,375
246,1124,375
331,1125,375
331,1126,376
295,1127,376
182,1128,376
332,1129,377
197,1130,377
40,1131,377
40,1132,378
228,1133,378
332,1134,378
45,1135,379
214,1136,379
333,1137,379
333,1138,380
301,1139,380
45,1140,380
187,1141,381
268,1142,381
334,1143,381
334,1144,382
319,1145,382
187,1146,382
335,1147,383
209,1148,383
159,1149,383
159,1150,384
254,1151,384
335,1152,384
180,1153,385
181,1154,385
336,1155,385
336,1156,386
230,1157,386
180,1158,386
337,1159,387
247,1160,387
195,1161,387
316,1162,388
337,1163,388
195,1164,388
326,1165,389
254,1166,389
142,1167,389
185,1168,390
339,1169,390
338,1170,390
340,1171,391
170,1172,391
185,1173,391
338,1174,392
340,1175,392
185,1176,392
341,1177,393
271,1178,393
244,1179,393
244,1180,394
320,1181,394
341,1182,394
150,1183,395
212,1184,395
342,1185,395
342,1186,396
269,1187,396
150,1188,396
344,1189,397
343,1190,397
285,1191,397
285,1192,398
284,1193,398
345,1194,398
345,1195,399
344,1196,399
285,1197,399
346,1198,400
246,1199,400
247,1200,400
247,1201,401
337,1202,401
346,1203,401
347,1204,402
183,1205,402
104,1206,402
104,1207,403
236,1208,403
347,1209,403
107,1210,404
105,1211,404
348,1212,404
349,1213,405
204,1214,405
107,1215,405
348,1216,406
