primal_vertex_tag,dual_quadrangle_element_tag,primal_face_index
127,462,154
156,463,155
217,464,155
128,465,155
49,466,156
212,467,156
141,468,156
140,469,157
166,470,157
71,471,157
154,472,158
174,473,158
56,474,158
124,475,159
141,476,159
125,477,159
150,478,160
155,479,160
57,480,160
65,481,161
194,482,161
185,483,161
31,484,162
161,485,162
76,486,162
133,487,163
201,488,163
178,489,163
115,490,164
134,491,164
116,492,164
116,493,165
117,494,165
112,495,165
158,496,166
165,497,166
97,498,166
152,499,167
168,500,167
74,501,167
56,502,168
190,503,168
154,504,168
50,505,169
223,506,169
145,507,169
44,508,170
159,509,170
73,510,170
115,511,171
142,512,171
134,513,171
143,514,172
226,515,172
44,516,172
133,517,173
178,518,173
145,519,173
116,520,174
118,521,174
117,522,174
69,523,175
70,524,175
45,525,175
131,526,176
196,527,176
108,528,176
31,529,177
76,530,177
32,531,177
32,532,178
74,533,178
31,534,178
131,535,179
223,536,179
181,537,179
119,538,180
120,539,180
118,540,180
116,541,181
119,542,181
118,543,181
29,544,182
68,545,182
30,546,182
4,547,183
107,548,183
3,549,183
5,550,184
57,551,184
6,552,184
27,553,185
49,554,185
28,555,185
78,556,186
99,557,186
70,558,186
120,559,187
138,560,187
121,561,187
6,562,188
54,563,188
5,564,188
29,565,189
53,566,189
28,567,189
7,568,190
52,569,190
8,570,190
120,571,191
121,572,191
118,573,191
73,574,192
152,575,192
40,576,192
110,577,193
112,578,193
111,579,193
27,580,194
56,581,194
26,582,194
8,583,195
55,584,195
7,585,195
24,586,196
48,587,196
25,588,196
10,589,197
47,590,197
11,591,197
78,592,198
100,593,198
99,594,198
18,595,199
46,596,199
17,597,199
110,598,200
111,599,200
109,600,200
10,601,201
59,602,201
9,603,201
21,604,202
50,605,202
22,606,202
13,607,203
51,608,203
14,609,203
25,610,204
58,611,204
24,612,204
113,613,205
114,614,205
110,615,205
20,616,206
60,617,206
19,618,206
16,619,207
61,620,207
15,621,207
14,622,208
66,623,208
13,624,208
94,625,209
110,626,209
109,627,209
94,628,210
109,629,210
108,630,210
12,631,211
62,632,211
11,633,211
23,634,212
65,635,212
22,636,212
19,637,213
63,638,213
20,639,213
17,640,214
67,641,214
18,642,214
15,643,215
64,644,215
16,645,215
92,646,216
94,647,216
93,648,216
94,649,217
113,650,217
110,651,217
109,652,218
131,653,218
108,654,218
94,655,219
108,656,219
93,657,219
113,658,220
122,659,220
114,660,220
91,661,221
95,662,221
92,663,221
91,664,222
92,665,222
90,666,222
108,667,223
137,668,223
93,669,223
92,670,224
93,671,224
90,672,224
89,673,225
91,674,225
90,675,225
90,676,226
106,677,226
87,678,226
89,679,227
90,680,227
87,681,227
85,682,228
89,683,228
87,684,228
87,685,229
105,686,229
86,687,229
84,688,230
127,689,230
126,690,230
127,691,231
129,692,231
126,693,231
85,694,232
86,695,232
83,696,232
85,697,233
87,698,233
86,699,233
84,700,234
126,701,234
85,702,234
83,703,235
96,704,235
81,705,235
4,706,236
169,707,236
5,708,236
84,709,237
85,710,237
83,711,237
79,712,238
101,713,238
78,714,238
82,715,239
84,716,239
83,717,239
81,718,240
88,719,240
79,720,240
35,721,241
45,722,241
36,723,241
36,724,242
44,725,242
35,726,242
82,727,243
83,728,243
81,729,243
38,730,244
42,731,244
37,732,244
37,733,245
43,734,245
38,735,245
34,736,246
41,737,246
35,738,246
35,739,247
40,740,247
34,741,247
152,742,248
203,743,248
40,744,248
72,745,249
78,746,249
70,747,249
80,748,250
82,749,250
81,750,250
80,751,251
81,752,251
79,753,251
74,754,252
168,755,252
31,756,252
42,757,253
143,758,253
37,759,253
72,760,254
80,761,254
79,762,254
69,763,255
140,764,255
71,765,255
72,766,256
79,767,256
78,768,256
121,769,257
124,770,257
118,771,257
23,772,258
178,773,258
24,774,258
21,775,259
184,776,259
20,777,259
69,778,260
71,779,260
70,780,260
71,781,261
102,782,261
72,783,261
165,784,262
179,785,262
47,786,262
71,787,263
72,788,263
70,789,263
164,790,264
197,791,264
160,792,264
73,793,265
153,794,265
152,795,265
52,796,266
172,797,266
8,798,266
48,799,267
177,800,267
25,801,267
47,802,268
179,803,268
11,804,268
62,805,269
189,806,269
180,807,269
30,808,270
161,809,270
31,810,270
77,811,271
229,812,271
39,813,271
91,814,272
225,815,272
130,816,272
69,817,273
195,818,273
140,819,273
23,820,274
221,821,274
178,822,274
51,823,275
205,824,275
183,825,275
158,826,276
179,827,276
165,828,276
4,829,277
167,830,277
107,831,277
160,832,278
197,833,278
121,834,278
45,835,279
210,836,279
36,837,279
5,838,280
169,839,280
57,840,280
120,841,281
226,842,281
138,843,281
55,844,282
170,845,282
7,846,282
27,847,283
171,848,283
56,849,283
8,850,284
173,851,284
55,852,284
18,853,285
175,854,285
46,855,285
46,856,286
176,857,286
17,858,286
25,859,287
174,860,287
58,861,287
10,862,288
180,863,288
59,864,288
23,865,289
182,866,289
65,867,289
63,868,290
181,869,290
20,870,290
15,871,291
183,872,291
64,873,291
19,874,292
186,875,292
63,876,292
17,877,293
187,878,293
67,879,293
155,880,294
188,881,294
52,882,294
24,883,295
178,884,295
48,885,295
33,886,296
228,887,296
75,888,296
20,889,297
184,890,297
60,891,297
31,892,298
168,893,298
30,894,298
138,895,299
160,896,299
121,897,299
8,898,300
172,899,300
9,900,300
25,901,301
177,902,301
26,903,301
75,904,302
228,905,302
2,906,302
11,907,303
179,908,303
12,909,303
159,910,304
209,911,304
73,912,304
47,913,305
231,914,305
146,915,305
5,916,306
167,917,306
4,918,306
103,919,307
208,920,307
104,921,307
111,922,308
133,923,308
132,924,308
7,925,309
170,926,309
6,927,309
28,928,310
171,929,310
27,930,310
26,931,311
174,932,311
25,933,311
