diamond_tag,center_x,center_y,center_z,grad_x,grad_y,grad_z,error_to_exact_gradient
1,1.9884339746642863,0.1600500592113885,-4.559027693978174e-05,-0.08756905144739768,1.162338570858018,1.7478310715469734,0.5797998152219442
2,1.9884339746643351,-0.1600500592110689,4.5590277083701336e-05,0.08756905144618006,1.1623385708581089,1.7478310715489738,0.5797998152213458
3,1.9661114535911148,0.0013774755049027476,0.1483369759995105,-0.29811381321745145,0.9239671264743394,1.010963902130743,0.4690710960128297
4,1.9661114535911777,-0.0013774755045852273,-0.14833697599936135,0.2981138132169961,0.9239671264758486,1.010963902130862,0.4690710960134774
5,1.9771633707266367,-0.11006947673610176,0.10692681040596544,-0.30757460495330863,1.0455591778469109,1.6111734528502915,0.5893620795275317
6,1.9766240682683427,-0.11691076928801601,-0.10672282441443261,0.27862695682636934,1.0268051525402246,1.0628249475214169,0.4815825147932778
7,1.9771633707266312,0.11006947673608777,-0.10692681040598384,0.30757460495334454,1.0455591778468887,1.6111734528501676,0.5893620795274931
8,1.976624068267943,0.11691076928961157,0.10672282441514654,-0.2786269568265494,1.026805152535097,1.062824947509034,0.4815825147943702
9,1.9439889438925662,0.44517686508681625,0.0009756828291436655,-0.22040490045530087,0.9354587549930661,1.680424962385747,0.5192841821896007
10,1.941409310635712,0.38015914621999297,0.11215742494508912,-0.2403875730412947,0.7807239835407036,0.35070754446824154,0.43060273005342414
11,1.9447437823421587,0.3727636241997154,-0.10755595294867633,0.2846378065146344,1.0251502904381486,2.1412507025614476,0.6933324947296255
12,1.9672167543392547,0.24600667985105468,-0.10186339725749849,0.2561934886240938,1.018121778842344,1.8519058355509033,0.711347988937715
13,1.966017409402835,0.2540585502149914,0.10260407169276506,-0.3019292886402988,0.9487241197478171,0.8455916429440411,0.42773745899634685
14,1.8557860725908946,0.7282069191267938,-0.00021546601263088688,-0.21490313979518788,0.5514214681305042,1.6178906029360305,0.4071555268551858
15,1.8622946969480314,0.6540299456155272,-0.12312688668456945,0.4256004739198648,0.8434793314240524,2.607879191796928,0.8941069153235235
16,1.8641515563177617,0.6496804747668409,0.12302710956361786,-0.07739022102074185,0.510925917978048,-0.37286160802544416,0.4101854146695739
17,1.9079806030212851,0.5179054233579464,0.11646986658998104,-0.20649007953586343,0.6689723056424106,0.09010494525915455,0.41685555531392815
18,1.910880182907817,0.5130346962027795,-0.11209467069355578,0.3261836970677142,0.8262267856817677,2.317233126966794,0.888070386049398
19,1.727111504407218,0.9971482919900055,0.006008025087592989,-0.09252500524119389,0.09658066331722698,1.3094330358435606,0.37301374673392534
20,1.7441188534364835,0.9205297499941778,0.127544350638636,0.13761409261259294,0.22761907360031064,-0.8456931377831083,0.5211997346953816
