diamond_tag,primal_a,primal_b,face_k,face_l
798,185,227,350,754
799,185,272,557,723
800,185,371,754,821
801,185,380,723,821
802,186,187,354,761
803,186,188,456,543
804,186,269,543,669
805,186,374,669,761
806,187,194,253,292
807,187,244,292,575
808,187,281,575,683
809,187,374,683,761
810,188,260,127,151
811,188,262,112,127
812,188,269,543,596
813,188,278,112,596
814,189,190,319,347
815,189,191,103,347
816,189,357,50,103
817,190,191,326,347
818,190,193,326,539
819,190,225,7,56
820,190,333,56,539
821,191,193,326,345
822,191,263,16,345
823,191,357,16,103
824,192,274,651,661
825,192,297,202,613
826,192,357,202,719
827,192,375,613,651
828,193,263,345,665
829,193,333,539,725
830,193,351,549,665
831,193,408,549,725
832,194,244,292,701
833,194,258,261,713
834,194,356,678,713
835,194,362,678,701
836,195,196,407,431
837,195,197,124,407
838,195,363,79,124
839,196,197,407,426
840,196,198,414,426
841,196,199,37,414
842,196,243,37,69
843,197,198,426,443
844,197,308,443,716
845,197,363,124,801
846,197,402,716,801
847,198,199,414,628
848,198,308,443,541
849,198,309,541,588
850,198,323,588,628
851,199,243,37,110
852,199,323,540,628
853,199,373,540,817
854,199,399,110,817
855,200,201,13,635
856,200,383,635,708
857,201,202,150,224
858,201,205,224,270
859,201,206,270,674
860,201,383,635,674
861,202,203,229,752
862,202,205,224,275
863,202,207,275,699
864,202,405,699,752
865,203,204,30,162
866,203,252,162,737
867,203,405,737,752
868,204,245,193,206
869,204,252,162,236
870,204,253,160,236
871,204,283,160,206
872,205,206,270,568
873,205,207,275,757
874,205,349,568,730
875,205,388,730,757
876,206,328,679,747
877,206,334,676,796
878,206,349,568,679
879,206,365,747,796
880,206,383,674,676
881,207,305,294,786
882,207,306,294,641
883,207,366,641,790
884,207,388,757,786
885,207,405,699,790
886,208,329,115,598
887,209,210,85,199
888,209,211,46,199
889,209,334,46,48
890,210,211,199,248
891,210,212,248,673
892,210,213,197,707
893,210,336,673,707
894,211,212,248,310
895,211,259,310,634
896,211,334,46,792
897,211,365,634,792
898,212,259,310,415
899,212,275,205,415
900,212,336,41,673
901,212,341,41,205
902,213,214,70,78
903,213,215,70,475
904,213,279,437,475
905,213,336,437,707
906,214,215,70,87
907,214,216,90,406
908,214,359,87,90
909,215,279,174,475
910,215,304,174,492
911,215,359,87,492
912,216,217,288,361
913,216,240,361,688
914,216,359,90,769
915,216,406,688,769
916,217,239,207,235
917,217,240,234,361
918,217,254,235,554
919,217,255,234,554
920,218,228,81,201
921,218,410,102,201
922,219,220,43,526
923,219,352,526,671
924,220,221,188,241
925,220,222,241,282
926,220,223,282,653
927,220,352,526,653
928,221,222,241,753
929,221,257,143,466
930,221,273,135,143
931,221,385,135,753
932,222,223,107,282
933,222,358,97,107
934,222,385,97,753
935,223,318,36,49
936,223,352,653,743
937,223,358,36,107
938,223,373,49,815
939,223,399,743,815
940,224,245,35,105
941,225,333,56,184
942,226,326,75,116
943,227,332,17,239
944,227,353,25,168
945,227,371,168,754
946,227,372,17,25
947,228,229,93,111
948,228,237,74,111
949,228,410,201,494
950,229,230,19,20
951,229,231,19,164
952,229,236,164,227
953,229,237,111,227
954,230,231,19,165
955,230,232,9,165
956,231,232,165,240
957,231,233,240,722
958,231,236,164,672
959,231,342,672,722
960,232,233,240,304
961,232,234,144,304
962,232,360,11,144
963,233,234,304,718
964,233,342,722,813
965,233,355,718,806
966,233,404,806,813
967,234,355,718,820
968,234,360,144,163
969,234,398,746,820
970,234,412,163,746
971,235,276,44,569
972,235,277,68,155
973,235,398,155,159
974,235,412,159,781
975,236,237,130,227
976,236,342,106,672
977,236,397,106,130
978,237,280,121,777
979,237,368,131,777
980,237,397,130,131
981,238,400,31,620
982,239,254,235,738
983,239,400,42,738
984,240,255,32,234
985,240,282,139,797
986,240,406,688,797
987,241,242,369,582
988,241,257,15,142
989,241,321,117,582
990,242,321,582,741
991,242,338,114,668
992,242,381,134,741
993,243,352,618,696
994,243,399,110,696
995,244,281,100,575
996,244,335,108,364
997,244,362,364,701
998,245,246,138,573
999,245,283,206,573
1000,246,283,57,573
1001,246,314,40,57
1002,246,338,88,523
1003,247,248,383,704
1004,247,276,29,664
1005,247,307,4,29
1006,247,364,145,704
1007,248,329,382,766
1008,248,361,766,816
1009,248,364,704,819
1010,248,401,816,819
1011,249,250,398,663
1012,249,268,34,158
1013,249,293,34,38
1014,249,396,170,663
1015,250,333,524,795
1016,250,350,804,824
1017,250,396,663,804
1018,250,408,795,824
1019,251,327,80,94
1020,252,253,63,236
1021,252,366,192,823
1022,252,405,737,823
1023,253,283,125,160
1024,253,354,137,213
1025,254,255,237,554
1026,254,330,18,237
1027,254,400,625,738
1028,255,256,61,208
1029,255,330,208,237
1030,256,330,208,782
1031,256,347,551,682
1032,256,403,682,782
1033,256,411,551,592
1034,257,273,91,143
1035,258,337,136,299
1036,258,356,136,713
1037,259,275,98,415
1038,259,328,175,695
1039,259,365,634,695
1040,260,261,509,510
1041,260,262,127,510
1042,261,262,243,510
1043,261,363,660,749
1044,261,386,243,570
1045,261,402,570,660
1046,262,278,112,196
1047,262,313,39,47
1048,262,386,39,243
1049,263,296,96,190
1050,263,297,10,126
1051,263,351,190,665
1052,263,357,10,16
1053,264,265,379,762
1054,264,274,8,565
1055,264,300,5,8
1056,264,379,481,762
1057,265,327,427,771
1058,265,379,762,763
1059,265,384,763,822
1060,265,390,771,822
1061,266,267,616,733
1062,266,268,231,745
1063,266,367,733,745
1064,267,272,58,216
1065,267,302,58,590
1066,267,303,590,724
1067,267,367,724,733
1068,268,293,34,277
1069,268,367,745,794
1070,269,278,596,607
1071,269,374,566,669
1072,269,389,577,607
1073,270,369,702,706
1074,270,387,702,734
1075,271,337,132,640
1076,271,356,132,659
1077,272,302,27,58
1078,272,380,147,723
1079,273,385,135,203
1080,274,300,8,123
1081,274,375,186,651
1082,275,341,205,484
1083,276,307,29,450
1084,277,398,155,709
1085,277,407,610,646
1086,278,389,140,607
1087,279,304,174,222
1088,279,336,122,437
1089,279,382,222,603
1090,280,311,276,758
1091,280,331,178,468
1092,280,368,758,777
