x y z
6.123233995736766e-17 -1.499759782661858e-32 -1.0
0.02504587623740237 -0.518306537732016 -0.854828074543502
-0.3742605822672556 0.5850463907752127 -0.7194787955192786

0.6881909602356179 0.5257311121190712 0.5000000000000228
0.1000327687770128 0.8624361353158836 0.4961827865537132
0.07791095135971203 0.2990340891449526 0.9510565162951533

0.6081023822435262 -0.5335915946650792 -0.587785252292473
0.8246940075437322 -0.5646694434432182 -0.03206576933405004
0.2199305960712486 -0.9589248403660748 -0.1791471000062326

0.5877852522924748 -1.439658655611997e-16 0.8090169943749462
0.6881909602356179 0.5257311121190712 0.5000000000000228
0.07791095135971203 0.2990340891449526 0.9510565162951533

0.8246940075437322 -0.5646694434432182 -0.03206576933405004
0.4817136884778531 -0.8312734103902042 0.2773741868150339
0.2199305960712486 -0.9589248403660748 -0.1791471000062326

0.2199305960712486 -0.9589248403660748 -0.1791471000062326
0.02481047563234089 -0.7850853896169593 -0.6188904356256318
0.6081023822435262 -0.5335915946650792 -0.587785252292473

-0.3784938404101231 -0.9059552359725227 -0.189703777467838
0.02481047563234089 -0.7850853896169593 -0.6188904356256318
0.2199305960712486 -0.9589248403660748 -0.1791471000062326

0.2628655560595662 0.5257311121191283 -0.809016994374951
-0.3742605822672556 0.5850463907752127 -0.7194787955192786
-0.1554505870630946 0.9196849283801076 -0.3605755780584919

0.6881909602356179 0.5257311121190712 0.5000000000000228
0.481016638765014 0.876142883812083 0.03156961160126659
0.1000327687770128 0.8624361353158836 0.4961827865537132

0.1000327687770128 0.8624361353158836 0.4961827865537132
-0.4453029637288479 0.5508769827094064 0.7058610489432637
0.07791095135971203 0.2990340891449526 0.9510565162951533

6.123233995736766e-17 -1.499759782661858e-32 1.0
-0.2827709313150347 -0.6479738323374222 0.7072273418139192
0.3265348617187975 -0.5905454161426439 0.7379912570994303

0.9510565162951535 -2.329416636978185e-16 -0.3090169943749477
0.6081023822435262 -0.5335915946650792 -0.587785252292473
0.5877852522924737 -1.439658655611995e-16 -0.809016994374947

0.3265348617187975 -0.5905454161426439 0.7379912570994303
-0.2827709313150347 -0.6479738323374222 0.7072273418139192
-0.07799605404308768 -0.9290980168922862 0.3615155467756938

-0.1554505870630946 0.9196849283801076 -0.3605755780584919
0.3094768062911504 0.8691406125589455 -0.3857702709754741
0.2628655560595662 0.5257311121191283 -0.809016994374951

-0.07799605404308768 -0.9290980168922862 0.3615155467756938
0.4817136884778531 -0.8312734103902042 0.2773741868150339
0.3265348617187975 -0.5905454161426439 0.7379912570994303

-0.4742680901641529 -0.6075379255621369 -0.6371557483501991
0.02481047563234089 -0.7850853896169593 -0.6188904356256318
-0.3784938404101231 -0.9059552359725227 -0.189703777467838

0.481016638765014 0.876142883812083 0.03156961160126659
0.886997213774254 0.4617269521854738 0.006645628805735385
0.6881909602364037 0.5257311121174905 -0.5000000000006034

0.1000327687770128 0.8624361353158836 0.4961827865537132
-0.4058212298801073 0.8971327435890308 0.1745335777408327
-0.4453029637288479 0.5508769827094064 0.7058610489432637

0.7674400771555199 -0.4821575551096291 0.422563391725117
0.8246940075437322 -0.5646694434432182 -0.03206576933405004
0.951056516295154 -2.329416636978186e-16 0.3090169943749463

0.9510565162951535 -2.329416636978185e-16 -0.3090169943749477
0.8246940075437322 -0.5646694434432182 -0.03206576933405004
0.6081023822435262 -0.5335915946650792 -0.587785252292473

-0.4058212298801073 0.8971327435890308 0.1745335777408327
-0.8493129255380618 0.4678247931219845 0.2445557553081731
-0.4453029637288479 0.5508769827094064 0.7058610489432637

-0.4058212298801073 0.8971327435890308 0.1745335777408327
-0.6767965762890198 0.6652127152589846 -0.3153386081361272
-0.8493129255380618 0.4678247931219845 0.2445557553081731

-0.4058212298801073 0.8971327435890308 0.1745335777408327
-0.1554505870630946 0.9196849283801076 -0.3605755780584919
-0.6767965762890198 0.6652127152589846 -0.3153386081361272

-0.6767965762890198 0.6652127152589846 -0.3153386081361272
-0.9598975224381846 0.1192420811945497 -0.2537283438826403
-0.8493129255380618 0.4678247931219845 0.2445557553081731

-0.1554505870630946 0.9196849283801076 -0.3605755780584919
-0.3742605822672556 0.5850463907752127 -0.7194787955192786
-0.6767965762890198 0.6652127152589846 -0.3153386081361272

-0.6767965762890198 0.6652127152589846 -0.3153386081361272
-0.6146326532811968 0.2336859504172509 -0.7534039939488656
-0.9598975224381846 0.1192420811945497 -0.2537283438826403

-0.9598975224381846 0.1192420811945497 -0.2537283438826403
-0.9413520486686934 -0.1401363734251577 0.3069496983391555
-0.8493129255380618 0.4678247931219845 0.2445557553081731

-0.9598975224381846 0.1192420811945497 -0.2537283438826403
-0.8496994988706578 -0.4886700100020216 -0.1980211679179199
-0.9413520486686934 -0.1401363734251577 0.3069496983391555

-0.8496994988706578 -0.4886700100020216 -0.1980211679179199
-0.6434077390775299 -0.6797231929571219 0.3521404013334968
-0.9413520486686934 -0.1401363734251577 0.3069496983391555

-0.6434077390775299 -0.6797231929571219 0.3521404013334968
-0.5662502290072453 -0.2468043882283603 0.7864148218977481
-0.9413520486686934 -0.1401363734251577 0.3069496983391555

-0.8496994988706578 -0.4886700100020216 -0.1980211679179199
-0.3784938404101231 -0.9059552359725227 -0.189703777467838
-0.6434077390775299 -0.6797231929571219 0.3521404013334968

-0.8496994988706578 -0.4886700100020216 -0.1980211679179199
-0.4742680901641529 -0.6075379255621369 -0.6371557483501991
-0.3784938404101231 -0.9059552359725227 -0.189703777467838

-0.3784938404101231 -0.9059552359725227 -0.189703777467838
-0.07799605404308768 -0.9290980168922862 0.3615155467756938
-0.6434077390775299 -0.6797231929571219 0.3521404013334968

-0.3784938404101231 -0.9059552359725227 -0.189703777467838
0.2199305960712486 -0.9589248403660748 -0.1791471000062326
-0.07799605404308768 -0.9290980168922862 0.3615155467756938

